Nome_do_Produto,Categoria_do_Produto,Descricao_Completa,ICP_Ideal_Customer_Profile,Para_quem_serve,Como_entregar_valor
Implementação Google My Business Profile,TER,"Implementação e otimização completa do Perfil do Google My Business (GMB), com foco na estruturação do processo comercial. O escopo inclui: reivindicação e/ou criação do perfil na plataforma, mapeamento e definição das categorias primária e secundárias do negócio, otimização da descrição com foco em SEO local, inserção e tratamento de mídias (fotos e logotipo), além da ativação da funcionalidade de mensagens e publicação de postagens iniciais. Ao término do projeto, será entregue: 1 (um) Perfil do GMB totalmente configurado e verificado, com descrição otimizada, mídias profissionais, seção de Q&A e treinamento para a equipe comercial.",Pequenas e Médias Empresas (PMEs) com atendimento local ou prestadores de serviços que dependem de visitas físicas/contatos regionais. Dores Latentes: possuem dados inconsistentes online gerando atrito comercial ou são negócios novos invisíveis no Google Maps. Valorizam a profissionalização e entendem que fazer sozinho gera riscos técnicos (perda de PIN). Objetivo: estabelecer uma vitrine oficial verificada para capturar a demanda de clientes que já buscam pelo seu nome ou categoria na região.,"Serve a dois perfis: O Gestor Corretivo (PME Estruturada mas Inconsistente): gestores de Marketing ou Proprietários que já possuem presença digital básica, mas cujo GMB está desatualizado, com endereço/horário errados ou não verificado; e o Empreendedor Foundation (Estágio Inicial): Founders, Startups ou Profissionais Liberais que estão iniciando a operação, têm zero presença no Google, temem a complexidade do processo de verificação e precisam de credibilidade imediata para receber as primeiras indicações.","O produto entrega valor ao mitigar riscos e desbloquear receita oculta. Recuperação de Tráfego: estanca a perda estimada de 15% a 25% do tráfego de busca local devido à desconfiança ou dados incorretos. Eficiência Operacional: elimina o tempo gasto pela equipe lidando com clientes perdidos ou reclamações sobre dados errados. Fundação de Crescimento: estabelece a infraestrutura necessária para que o cliente comece a coletar avaliações desde o dia 1, criando um ativo de reputação que se valoriza com o tempo. Segurança Técnica: remove o risco de bloqueios e perda de PIN que comumente ocorre em tentativas amadoras."
Auditoria técnica de ambientes (CRO / SEO) E-commerce,DESTRAVA RECEITA,"Auditoria Técnica de Ambientes (CRO / SEO) - E-commerce. Entrega um diagnóstico técnico completo do ambiente de E-commerce, incluindo validação de acessos e instrumentação (GA4, GSC, GTM e ferramentas de comportamento), mapeamento das páginas críticas da jornada (home, categorias, produtos, busca, carrinho e checkout), estudo comparativo de concorrentes e coleta de baseline do funil de compra. Abrange auditoria técnica de SEO com crawl completo, análise de indexação, Core Web Vitals, além de diagnóstico aprofundado de CRO com identificação de fricções em toda a jornada de compra. Resulta na identificação clara da restrição de interesse comercial e plano de ação técnico.","E-commerces com volume de tráfego estabelecido, mas que enfrentam uma estagnação silenciosa ou platô de crescimento. Sintomas: alto volume de chamados no SAC sobre dificuldades de compra, queda brusca em etapas específicas do funil, ou disparidade entre investimento em marketing e resultado de vendas. Operações que acumularam débitos técnicos, usam muitos scripts de terceiros, ou possuem infraestrutura que funciona na empresa mas falha no mobile do cliente.","Serve primariamente para: Gestores de E-commerce e CX, que lidam com reclamações de clientes (não consigo comprar) mas se sentem impotentes ao reportar para a TI e receberem a resposta de que está funcionando normal; e Diretores Comerciais e Empreendedores não-técnicos, que percebem que a operação bateu no teto de crescimento, investem em tráfego mas a conversão não sobe, e buscam uma auditoria externa para validar se a plataforma é o gargalo.","O valor é entregue através da transformação de incerteza em receita recuperável. Impacto Financeiro: identificação de vazamentos invisíveis de receita (bugs que afetam 15-20% das tentativas de compra), permitindo aumento de faturamento sem aumento de mídia. Impacto Político/Estratégico: empoderamento do gestor com dados irrefutáveis (vídeos/logs) para cobrar resultados da agência/TI atual ou justificar a troca de fornecedores. Segurança para Escalar: garantia de que a casa está arrumada antes de grandes injeções de verba em mídia."
Manutenção de Kommo CRM,EXECUTAR,"Prestação de serviço de manutenção mensal preventiva para o sistema Kommo CRM, com duração estimada de até 2 horas por mês, incluindo a realização de backups e exportações regulares de dados, aplicação de atualizações e configurações da plataforma, monitoramento das integrações e automações, gestão de usuários e permissões, além do ajuste de personalizações como campos, funis e etiquetas. O objetivo é garantir a estabilidade, segurança e eficiência do CRM, assegurando que a operação comercial mantenha-se funcional e integrada de forma contínua.",Empresas PME que utilizam ou acabaram de implementar o Kommo CRM como pilar comercial. Não possuem um departamento de TI estruturado ou um Analista de CRM dedicado internamente. Cenários: Empresas enfrentando instabilidade técnica frequente (integrações falhando) OU empresas em fase de Go-Live que precisam garantir a adoção imediata sem vácuo de responsabilidade técnica.,"Serve a dois perfis: O Gestor Comercial Bombeiro (Cenário Reativo): focado em metas, mas frustrado por gastar tempo resolvendo problemas técnicos no CRM em vez de treinar a equipe; e o Dono de PME Investidor (Cenário Pós-Projeto): focado em ROI, que acabou de pagar pela implementação do CRM e teme que o investimento se torne obsoleto, buscando proteger o ativo que acabou de adquirir sem ter equipe de TI interna.","Para a Operação (Gestor): devolve o tempo do gestor para focar em vendas e restaura a confiança da equipe na ferramenta. Elimina a perda de leads por falhas silenciosas, melhorando a taxa de conversão e o speed-to-lead. Para o Negócio (Dono): atua como um seguro para o investimento (CAPEX). Substitui o custo fixo alto de uma contratação interna (R$ 4k-6k/mês) por um custo variável eficiente, garantindo que o ROI do projeto de implementação seja atingido e o ativo não se deteriore."
Manutenção de Landing Page,EXECUTAR,"Prestação de serviço de manutenção mensal preventiva para landing page, com duração estimada de até 1 (uma) hora por mês, voltado à garantia de estabilidade, segurança, disponibilidade e alta performance da plataforma. A manutenção inclui verificações técnicas, atualizações básicas e eventuais ajustes corretivos necessários para assegurar o funcionamento contínuo da página.",ICP PME 1: Pequenas e médias empresas em expansão comercial. Possuem equipe de marketing incipiente (1-3 pessoas) e investimento em mídia de R$ 10k a R$ 50k/mês. Buscam preservar o investimento inicial e evitar riscos na implementação. ICP PME 2: Empresas B2B ou B2C com operações em crescimento e alta dependência de leads. Possuem equipe de marketing de 3 a 10 pessoas e investimento em mídia entre R$ 20k e R$ 200k/mês. Sofrem com operações reativas e buscam estabilidade para escalar.,"PME 1 (Estruturação Digital): Empresas iniciando ou ampliando esforços digitais, com verba de mídia entre R$ 10k-50k/mês. O decisor é geralmente o CEO ou Head de Marketing. A dor principal é o medo de desperdiçar o investimento inicial devido à degradação rápida do ativo recém-criado. PME 2 (Operação em Crescimento): Empresas que já investem consistentemente (R$ 20k-200k/mês) e dependem de leads digitais. O decisor é o Gestor de Marketing ou Head de Growth, orientado a dados. A dor principal é a instabilidade técnica recorrente e a operação reativa que gera perda de leads qualificados.","A entrega de valor ocorre ao transformar a landing page de uma fonte de risco em um ativo confiável, atendendo ao ""Job To Be Done"" de proteger o ROI dos investimentos em mídia. Impacto Racional: Redução do desperdício financeiro em mídia paga. Aumento da taxa de conversão e eficiência na aquisição de leads. Eliminação de gargalos de TI e dependência de freelancers sem SLA, garantindo velocidade de resposta. Impacto Emocional: Tranquilidade e confiança para focar na estratégia e escalar investimentos. Orgulho e credibilidade perante a diretoria ao apresentar resultados consistentes sem ""apagar incêndios"" técnicos."
Manutenção de Gestão de Dados (BI),EXECUTAR,"Prestação de serviço de manutenção mensal preventiva para rotinas de Business Intelligence (BI), com duração estimada de até 3 horas por mês, incluindo a atualização de ferramentas e patches de segurança, monitoramento de rotinas de atualização de dados (ETLs, integrações e dashboards), verificação de desempenho das consultas e acompanhamento da integridade e qualidade dos dados. O objetivo é assegurar o funcionamento contínuo e estável do ambiente de BI, preservando a confiabilidade das informações e prevenindo falhas que possam comprometer a análise e a tomada de decisão.","Empresas que já possuem um ecossistema de dados implementado, utilizando ferramentas de visualização como Power BI, Metabase ou Looker Studio, conectadas a fontes de dados como ERPs (ex: Bling), CRMs (ex: Salesforce, RD Station) e planilhas. Enfrentam crises de dados frequentes (média de 2 a 3 por mês) ou estão em momento de transição, onde a garantia da consultoria implantadora está terminando e não há equipe interna de dados (""Data Team"") estruturada. O cliente ideal valoriza a governança e teme tomar decisões estratégicas baseadas em ""achismo"" devido à instabilidade dos relatórios atuais.","Empresas em cenário de Pós-Projeto de BI que já superaram a fase de implementação. Personas principais: Diretor de Operações ou Head de TI — gestor pressionado por eficiência que possui a estrutura de dados, mas cuja equipe interna está sobrecarregada e atua apenas reativamente. Sente vergonha quando os dados estão errados em reuniões de diretoria. Dono de PME ou Gerente de Negócios (não técnico) — investiu alto em um projeto de BI, mas percebe que não tem equipe interna para manter aquilo funcionando. Teme que o investimento vire ""pó"" por falta de atualização técnica.","Valor entregue através da confiabilidade e previsibilidade dos dados. Impacto Racional (ROI): Proteção do ativo — garante que o investimento inicial no projeto de BI não seja desperdiçado por obsolescência técnica. Substitui custos imprevisíveis de suporte emergencial por um custo fixo gerenciável (OPEX). Impacto Emocional (Paz de Espírito): Elimina a ansiedade e o medo de chegar em reunião de Board com números errados. Permite que gestores foquem na análise estratégica. Eficiência: Evita que a equipe interna perca 24h a 48h investigando ""crises de dados"" recorrentes."
Manutenção de Site,EXECUTAR,"Prestação de serviço de manutenção mensal preventiva para sites, com duração estimada de até 3 (três) horas por mês, contemplando a atualização de plugins necessários, bem como a realização de ajustes preventivos voltados à garantia de que a plataforma permaneça estável, segura, online e com alta performance. O serviço visa preservar a integridade técnica do site e minimizar riscos de falhas operacionais.","Empresas de segmentos como E-commerce, SaaS e Serviços que buscam resolver o Job To Be Done: ""Garantir que o site continue estável, seguro e otimizado para preservar o investimento feito e assegurar que o tráfego pago traga retorno sem desperdícios"". Faturamento de R$ 3M a R$ 50M que já investem ou pretendem investir em mídia paga, mas cuja estrutura técnica atual é inexistente, baseada em freelancers reativos ou equipes de TI desalinhadas com o marketing.","Dois perfis principais de PME, cujos decisores são geralmente o Diretor de Marketing ou o Dono: PME 1 (Pós-Lançamento): Empresas faturando entre R$ 3M e R$ 20M que acabaram de investir na criação/reformulação de um site. Possuem equipes de marketing pequenas e nenhum suporte técnico interno, temendo a regressão rápida do novo ativo. PME 2 (Operação Contínua): Empresas faturando entre R$ 5M e R$ 50M com forte dependência de canais digitais. Já possuem um site ativo, mas sofrem com falhas recorrentes, falta de gestão preventiva e desperdício de ROI em campanhas por problemas técnicos.","Valor entregue através da tranquilidade operacional e preservação financeira. Impacto Racional: Garante uptime próximo a 100%, otimização de performance (velocidade), redução direta do desperdício de verba de mídia paga e eliminação de custos emergenciais imprevisíveis. Transforma custos variáveis de ""apagar incêndios"" em um investimento preventivo e controlado. Impacto Emocional: Proporciona ao gestor de marketing a segurança de que o site não será um gargalo, permitindo confiança para escalar investimentos em tráfego e orgulho de apresentar resultados consistentes à diretoria sem o medo de falhas técnicas repentinas."
Profissional de V4 Food 2.0 - Plano SCALE,EXECUTAR,"O V4 Food 2.0 – Scale é o plano avançado para redes e franquias de restaurantes que precisam padronizar múltiplas unidades, centralizar governança e consolidar relatórios. Além de inteligência estratégica e campanhas integradas, o Scale transforma o atendimento ao salão em uma operação digitalizada, padronizada e conectada ao delivery, eliminando erros manuais e garantindo consistência em toda a rede.","Redes e franquias de restaurantes que já possuem múltiplas unidades operando, mas sofrem com falta de padronização, relatórios fragmentados e ausência de governança central. O decisor é tipicamente um Founder, CEO ou Diretor de Marketing/Expansão, orientado a dados, pressionado por metas de crescimento e consistência entre lojas. Já testou soluções pontuais, mas percebeu que não geram escala nem padronização. Ideal para quem está em fase de expansão, abertura de novas unidades ou profissionalização da rede.","Empreendedores e gestores de food service que já superaram os desafios de digitalização básica e enfrentam o próximo nível: transformar múltiplas lojas em uma rede padronizada e escalável. Founders, CEOs ou Diretores de Operações/Marketing com 2 a 6+ unidades. Dores principais: falta de relatórios consolidados entre lojas, atendimento local desigual, campanhas desconectadas e ausência de governança central para decisões estratégicas.","O Scale entrega valor ao transformar operações desconectadas em uma rede padronizada, previsível e escalável: Governança centralizada garantindo que cada loja siga os mesmos processos e padrões. Relatórios comparativos e unificados por unidade e canal, reduzindo até 40% o tempo de gestão. Integração do atendimento local com canais digitais, eliminando falhas manuais. Marketing multilojas estruturado, aumentando ticket médio, recorrência e consistência de marca em todas as unidades."
Profissional de Web Design,EXECUTAR,"Prestação de serviço contínuo de Web Design, com foco na criação, manutenção e otimização de páginas e componentes de sites institucionais e páginas de produto. O escopo contempla a criação de novas páginas, implementação de funcionalidades, correção de bugs, otimização de performance, testes de qualidade (QA) e manutenção preventiva da estrutura existente. Inclui ainda o acompanhamento de tendências e tecnologias web, garantindo que o ambiente digital se mantenha atualizado, estável, rápido e alinhado às melhores práticas de experiência do usuário e desempenho técnico.","Empresas com operação de marketing ativa que dependem de Landing Pages e performance web para converter. O decisor é geralmente o Head de Marketing ou o Dono da PME. O cliente possui um site em WordPress/CMS que roda com problemas (lento, bugs, sem pixel). Existe descompasso crítico: o marketing quer correr, mas a técnica o segura. Frequentemente acabaram de contratar agências de tráfego que exigem um site melhor. Motivação: parar de perder dinheiro com leads que não convertem por falhas técnicas.","Dois perfis: Gestor de Marketing/Growth (PME com Equipe) — possui estratégia e equipe de design/copy, mas é refém de uma TI interna lenta. Campanhas atrasadas e sites lentos (carregamento maior que 4s) prejudicam métricas de funil. Fundador/Dono (PME Iniciando no Digital) — está pronto para investir em tráfego, mas possui um ativo digital amador (Wix/DIY) ou inexistente. Teme queimar verba de mídia enviando tráfego para um site que não passa credibilidade e não pode arcar com risco de contratar desenvolvedor sênior full-time.","Valor entregue ao transformar o site de um gargalo em uma ferramenta de alavancagem de receita: Eficiência Financeira — a otimização de performance (ex: PageSpeed de 40 para 90+) reduz o CPL e aumenta a taxa de conversão, garantindo que o orçamento de mídia não seja desperdiçado. Agilidade Operacional — eliminação da fila de espera da TI; o time de marketing ganha capacidade de lançar campanhas e testar hipóteses rapidamente. Segurança e Foco — remove a necessidade do Gestor de Marketing microgerenciar questões técnicas ou do Fundador tentar aprender a programar."
Profissional de Vendas (BDR),EXECUTAR,"O Profissional de Vendas (Closer) atua na condução de negociações e fechamento de contratos, transformando oportunidades qualificadas em clientes efetivos. Suas atividades incluem reuniões comerciais, diagnóstico de necessidades, envio de propostas e follow-ups, assegurando uma jornada de compra consultiva e previsível. Com maior alocação de horas — de 10% (16h) a 100% (160h) — ampliam-se o volume de fechamentos e o impacto direto na receita.","Dono ou Diretor Comercial de PMEs. Dores Latentes: Investe em tráfego e SDRs, mas a receita não acompanha. Vê o CRM como um ""buraco negro"" e está cansado de desculpas da equipe atual. Job To Be Done: Busca alguém que execute o processo com disciplina para ""parar de perder oportunidades óbvias"" e ter previsibilidade, sem precisar treinar um júnior do zero. Geralmente já possui validação de canal (leads chegando), mas o lead leakage é superior a 50% por falha humana na ponta da venda.","PME com Equipe Insatisfeita: Empresas que já geram leads e possuem vendedores, mas sofrem com baixa conversão (ex: Win Rate de 12%) e falta de processos. O SDR agenda, mas o Closer deixa o lead esfriar por falta de follow-up. PME Iniciante no Digital: Empresas onde o fundador é o responsável comercial. O marketing/SDR começou a gerar volume, mas o dono está sobrecarregado com outras funções e não consegue atender a demanda, gerando desperdício de leads e falta de previsibilidade.","Valor entregue através da resolução da ineficiência na execução comercial. Impacto Racional (Financeiro): Aumento da Taxa de Fechamento (Win Rate) sobre os leads já gerados — se o Win Rate sobe de 10% para 20%, a receita dobra sem aumentar o investimento em marketing. Garante previsibilidade de receita para projeções de fluxo de caixa. Impacto Emocional (Gestão): Libertação do fundador ou gestor. Ao delegar a execução para um profissional com método, o dono deixa de ser o gargalo e ganha tempo para focar na estratégia do negócio."
Profissional de Pré-Vendas (SDR),EXECUTAR,"O Profissional de Pré-Vendas (SDR) atua na prospecção e qualificação de oportunidades comerciais, sendo o primeiro contato entre a marca e o potencial cliente. Suas atividades incluem pesquisa de leads, contato ativo, follow-ups e agendamento de reuniões qualificadas, garantindo um pipeline saudável e previsível para o time de vendas. Com maior alocação de horas — de 10% (16h) a 100% (160h) — aumentam o volume de leads qualificados e a eficiência do funil comercial.","Dono ou Diretor Comercial de PMEs. Dores Latentes: Investe em tráfego e SDRs, mas a receita não acompanha. Vê o CRM como um ""buraco negro"" e está cansado de desculpas da equipe atual. Job To Be Done: Busca alguém que execute o processo com disciplina para ""parar de perder oportunidades óbvias"" e ter previsibilidade, sem precisar treinar um júnior do zero. Já possui validação de canal (leads chegando), mas o lead leakage é superior a 50% por falha humana na ponta da venda.","Head de Vendas de PME (com equipe insatisfeita): Possui vendedores usando cadências próprias e informais, onboarding lento e métricas que não conectam atividade à receita. Sente insegurança ao escalar, frustração com falta de padronização e sobrecarga em microgestão. Founder de Scale-up/PME (iniciando equipe): Os próprios fundadores fazem as vendas, sem CRM ou cadências definidas. Planejam contratar os primeiros SDRs mas temem errar. Receio de contratar sem processo e perder velocidade de crescimento.","Valor entregue através da estruturação e execução profissional da pré-venda: Aceleração de Resultados — redução do tempo de ramp-up da equipe (ex: de 6 para 3 meses). Eficiência e Conversão — aumento típico de 15-20% na taxa de conversão e melhoria na qualidade das reuniões agendadas. Previsibilidade e Segurança — criação de pipeline previsível, fundamental para conversas com investidores e planejamento de crescimento. Foco Estratégico — liberação dos founders de funções operacionais de vendas para focarem em estratégia."
Profissional de Sales Enablement,EXECUTAR,"O Profissional de Sales Enablement potencializa a performance comercial com materiais de apoio, treinamentos e integração entre marketing e vendas. Tarefas recorrentes como análise de métricas, onboarding e suporte a vendedores e comunicação com cliente/equipe asseguram consistência e evolução contínua. Quanto maior a alocação de horas — de 10% (16h) a 100% (160h) — maior o volume de entregas e o impacto nos resultados.","PME SaaS B2B (20-50 vendedores) ou Scale-up B2B em fase de tração. Empresas que receberam rodada seed ou precisam crescer rápido, onde a prospecção feita pelos founders não é mais escalável. Decisor Analítico (Head de Vendas) pressionado por resultados de curto prazo, ou Visionário/Cauteloso (Founder) que busca segurança metodológica para evitar erros de contratação. Necessidade latente de estruturar playbooks, cadências e treinamentos desde o dia 1 ou corrigir uma operação ineficiente.","PME com Equipe Própria (Head de Vendas): Possui vendedores, mas insatisfeita com despadronização. Enfrenta ramp-up lento, coaching informal e métricas que não conectam atividade à receita. Dor principal: insegurança ao escalar e sobrecarga do gestor em microgestão. PME Iniciando no Digital (Founder/CEO): Não possui equipe ou processos. O founder ainda faz as vendas e planeja contratar os primeiros SDRs, mas teme perder eficiência ou contratar sem processos definidos. Dor principal: dependência dos fundadores e risco de perder velocidade de crescimento por falta de playbook.","Valor entregue através da transformação da eficiência operacional e previsibilidade de receita: Aceleração de Resultados — redução típica do tempo de ramp-up de novos vendedores de 6 para 3 meses. Aumento de Conversão — impacto esperado de 15-20% na taxa de conversão por vendedor. Previsibilidade e Segurança — para o Founder, previsibilidade de pipeline para investidores e liberação para funções estratégicas; para o Head, recuperação da confiança perante a diretoria. Padronização — consistência nos discursos comerciais e adoção efetiva dos playbooks."
Profissional de Business Intelligence,EXECUTAR,"O Profissional de Business Intelligence transforma dados em decisões estratégicas por meio de dashboards e análises de insights. Tarefas recorrentes como coleta e modelagem de dados, construção de relatórios e comunicação com cliente/equipe garantem consistência e precisão. Quanto maior a alocação de horas — de 10% (16h) a 100% (160h) — maior o volume de entregas e o impacto nos resultados.","Empresas estabelecidas que enfrentam um ""teto"" de crescimento. Possuem decisor analítico (Head/Diretor de Operações ou Marketing) que precisa defender orçamentos perante a diretoria, mas sofre com relatórios manuais e divergência de números entre áreas. Ou Founder Cauteloso que está estruturando a operação do zero, busca segurança antes de escalar e quer evitar desperdício de investimento, necessitando de dashboards confiáveis desde o primeiro dia.","Dois perfis: Gestor de Operações/Marketing (PME com equipe) — analítico e racional, precisa defender orçamentos perante a diretoria, mas sofre com relatórios manuais em planilhas e divergência de números. Founder Cauteloso (PME iniciando no digital) — empreendedor visionário que está estruturando a operação do zero, busca segurança antes de escalar, quer evitar desperdício de investimento e necessita de dashboards confiáveis desde o primeiro dia para não guiar o negócio apenas pelo feeling.","Valor entregue através da transformação da incerteza em previsibilidade e segurança. Racionalmente: economiza tempo ao automatizar consolidação de dados, elimina retrabalho causado por erros manuais e fornece clareza sobre métricas vitais como ROI, CAC e LTV. Estrategicamente: acelera o time-to-value com dashboards prontos em semanas e mitiga risco de investimentos errados. Emocionalmente: remove a ansiedade e insegurança das lideranças em reuniões de diretoria, substituindo o feeling por confiança baseada em dados auditáveis."
Profissional de Social Media,EXECUTAR,"O Profissional de Social Media planeja e executa estratégias digitais por meio de conteúdos criativos, legendas e relatórios de desempenho. Tarefas recorrentes como agendamento de publicações, monitoramento de engajamento, relatórios e comunicação com cliente/equipe garantem consistência e evolução contínua. Quanto maior a alocação de horas — de 10% (16h) a 100% (160h) — maior o volume de entregas e o impacto nos resultados.","PMEs em dois cenários: Empresas com Marketing Ineficiente — possuem equipe interna multitarefa que entrega de forma desorganizada, gerando posts irregulares e métricas que não se conectam com objetivos de negócio. Pressão competitiva onde concorrentes já possuem narrativas consistentes. Empresas Invisíveis Digitalmente — fundador tenta fazer posts esporádicos ou contrata freelancers pontuais sem visão estratégica. Sofrem com crescimento lento e insegurança em escalar por falta de presença de marca.","PME com equipe de Marketing existente (Head de Marketing): Gestor que já possui time, mas enfrenta inconsistência, métricas superficiais e pressão da diretoria por previsibilidade. A equipe está sobrecarregada e comunicação desalinhada. PME iniciando no digital (Founder/Sócio-diretor): Dono de empresa que acumula funções e sente insegurança em iniciar a presença digital. A empresa sofre com branding inexistente e dependência de indicações/networking, sem saber por onde começar.","Valor entregue através da transformação da incerteza em ativos de marketing mensuráveis. Para o Gestor de Marketing: clareza e previsibilidade em métricas, justificando o orçamento e reduzindo ruído interno com a diretoria. Para o Founder: segurança e redução de risco ao iniciar no digital com metodologia validada, construindo relevância digital e criando um canal previsível de geração de leads. Em ambos os casos, garante que a estratégia não se perca na execução, assegurando consistência."
Profissional de Gestão de Mídia Paga,EXECUTAR,"O Profissional de Mídia Paga atua no planejamento e execução de campanhas digitais, desde a pesquisa de palavras-chave até a gestão de orçamento e criação de estratégias. Tarefas recorrentes como análise de indicadores, otimização de campanhas e comunicação com cliente/equipe asseguram acompanhamento constante e eficiência. Com maior alocação de horas — de 10% (16h) a 100% (160h) — ampliam-se o volume de entregas e o impacto dos resultados.","Empresas que buscam tração ou otimização de vendas digitais. Decisores: Founder (PMEs menores) ou Head de Marketing/CMO (estruturas maiores). Dores latentes: incapacidade de justificar investimentos para a diretoria, pipeline de vendas instável ou medo de ""queimar dinheiro"" em testes sem método. Comportamento analítico que demanda dados para confiar, ou cauteloso que precisa de segurança técnica para aprovar budget. Estão sob pressão por crescimento rápido ou possuem eventos críticos próximos como lançamentos, Black Friday ou revisões de orçamento.","Otimizador Frustrado (PME com equipe/agência atual): Empresas que já destinam orçamento para mídia, mas sofrem com gestão júnior ou terceirizada que entrega métricas superficiais e ausência de ROI claro. O decisor enfrenta conflitos com vendas devido a leads ruins e falta de previsibilidade. Iniciante Cauteloso (PME iniciando no digital): Empresas que dependem de crescimento orgânico ou indicações com crescimento lento. O decisor deseja iniciar em mídia paga, mas tem receio de desperdiçar verba e ausência de métricas claras.","Valor entregue através da Profissionalização e Previsibilidade da aquisição de clientes. Impacto Racional: Para quem já investe, entrega capacidade de defender budget com segurança e pipeline de vendas com leads qualificados. Para quem inicia, entrega aceleração de crescimento previsível. Impacto Emocional: Remove a ansiedade e insegurança do gestor. O Head de Marketing recupera a confiança da diretoria através de relatórios técnicos, e o Founder sente alívio ao ver um canal de vendas que não depende apenas de indicações."
Profissional de Designer Gráfico,EXECUTAR,"O Profissional de Design Gráfico é responsável por criar peças visuais estratégicas e atrativas, explorando referências e tendências para entregar layouts modernos e impactantes. Tarefas recorrentes como tratamento de imagens, revisão e ajustes rotineiros e comunicação com cliente/equipe garantem consistência e qualidade. Quanto maior a alocação de horas — de 10% (16h) a 100% (160h) — maior o volume de entregas e o alcance dos resultados.","Empresas que precisam executar campanhas de mídia paga e sustentar identidade visual, mas esbarram em gargalos operacionais. Cenário 1: Empresas que buscam consistência criativa e velocidade de entrega para impactar CTR e conversão, mas sofrem com equipe júnior ou freelancers descompromissados. Cenário 2: Empresas iniciando presença digital estruturada que desejam projetar profissionalismo imediato, mas hoje dependem de improviso (Canva/Founder). Gatilhos: próximos de marcos críticos como Black Friday, lançamentos ou rodadas de investimento.","PME com equipe interna sobrecarregada (Tier Médio): Head de Marketing que enfrenta retrabalho constante, inconsistência visual e prazos estourados. Equipe atual é júnior ou multitarefa, resultando em baixa performance de mídia e desgaste interno. PME iniciando no digital (Tier Menor): Founder que centraliza a produção (fazendo peças no Canva), resultando em crescimento lento e amadorismo visual. Busca profissionalizar a operação para transmitir segurança e autoridade desde o início.","Valor entregue através da transformação do caos visual em previsibilidade e performance. Impacto Racional: Garante consistência visual e escala criativa (de 6 a 80+ peças/mês), permitindo testes A/B eficientes e impacto direto em métricas como CTR, ROAS e conversão. Elimina o retrabalho através de processos de QA. Impacto Emocional: Reduz a ansiedade do decisor ao fornecer materiais profissionais que geram orgulho da marca e confiança para investir em mídia. Ao contrário de freelancers pontuais, oferece senioridade técnica aliada à velocidade e foco em performance."
Profissional de Redação Publicitária,EXECUTAR,"O Profissional de Redação Publicitária desenvolve conteúdos estratégicos como artigos, anúncios, roteiros e e-mails, alinhando criatividade com objetivos de marca. Tarefas recorrentes como revisão e edição de textos, pesquisa de palavras-chave, análise de desempenho e comunicação com cliente/equipe garantem consistência e otimização contínua. Quanto maior a alocação de horas — de 10% (16h) a 100% (160h) — maior o volume de entregas e o alcance dos resultados.","Perfil A (Decisor Técnico): Head de Marketing ou Gerente de Growth em PME. Analítico, pressionado pela diretoria para justificar o budget de mídia. Dor latente: não consegue explicar por que o tráfego não converte, devido a criativos fracos. Perfil B (Dono do Negócio): Founder, CEO ou Diretor Comercial de PME. Orientado a resultados, sente urgência. Dor: ver oportunidades sendo perdidas por falta de materiais claros ou estar pessoalmente sobrecarregado escrevendo propostas. Gatilhos: momentos de expansão, lançamento de novos produtos ou pressão para aumentar eficiência do budget.","Estruturado Insatisfeito: Empresas que já possuem equipe de marketing, mas sofrem com textos rasos feitos por generalistas. CTR baixo, campanhas bonitas que não convertem e relatórios focados em volume, não em performance. Founder Sobrecarregado: Empresas em crescimento onde a alta demanda é atendida no improviso. O fundador ou diretor comercial acumula a função de escrever e-mails e propostas, gerando gargalos e comunicação pouco profissional.","Valor entregue através da profissionalização e estruturação da narrativa comercial em três frentes: Performance Comercial — aumento das taxas de conversão e engajamento (CTR, Open Rate) através de copy persuasiva alinhada ao funil de vendas. Escalabilidade e Previsibilidade — criação de processos e padrões de comunicação que permitem crescer o volume de leads sem perder qualidade. Autoridade de Marca — eliminação de mensagens genéricas ou amadoras, garantindo identidade verbal consistente que transmite confiança e profissionalismo ao mercado."
